[27-Feb-2015 16:24:20 Europe/Moscow] PHP Notice:  Undefined index: key_hasp_is in C:\www\public\sdk\frontend\utils\get_network_authorized_ui_for_sdk.php on line 2
[27-Feb-2015 16:24:35 Europe/Moscow] PHP Notice:  Undefined index: key_hasp_id in C:\www\public\sdk\frontend\utils\get_network_authorized_ui_for_sdk.php on line 2
[27-Feb-2015 16:24:38 Europe/Moscow] PHP Notice:  Undefined index: key_hasp_id in C:\www\public\sdk\frontend\utils\get_network_authorized_ui_for_sdk.php on line 2
[27-Feb-2015 16:25:20 Europe/Moscow] PHP Notice:  Undefined index: key_hasp_id in C:\www\public\sdk\frontend\utils\get_network_authorized_ui_for_sdk.php on line 2
[01-Mar-2015 19:12:19 Europe/Moscow] PHP Warning:  mysql_query(): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'where id=1' at line 1 in C:\www\public\sdk\frontend\utils\get_status_check_update_program.php on line 8
[01-Mar-2015 19:12:54 Europe/Moscow] PHP Warning:  mysql_query(): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'where id=1' at line 1 in C:\www\public\sdk\frontend\utils\get_status_check_update_program.php on line 8
[01-Mar-2015 19:13:32 Europe/Moscow] PHP Warning:  mysql_query(): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'where id=1' at line 1 in C:\www\public\sdk\frontend\utils\get_status_check_update_program.php on line 8
[01-Mar-2015 19:17:37 Europe/Moscow] PHP Warning:  mysql_query(): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'where id=1' at line 1 in C:\www\public\sdk\frontend\utils\get_status_check_update_program.php on line 8
[03-Mar-2015 10:15:50 Europe/Moscow] PHP Warning:  require_once(../../config.php): failed to open stream: No such file or directory in C:\www\public\sdk\frontend\utils\event_open_program.php on line 5
[03-Mar-2015 10:15:50 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required '../../config.php' (include_path='.;C:\php\pear') in C:\www\public\sdk\frontend\utils\event_open_program.php on line 5
[03-Mar-2015 10:16:13 Europe/Moscow] PHP Warning:  require_once(../../config.php): failed to open stream: No such file or directory in C:\www\public\sdk\frontend\utils\event_open_program.php on line 5
[03-Mar-2015 10:16:13 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required '../../config.php' (include_path='.;C:\php\pear') in C:\www\public\sdk\frontend\utils\event_open_program.php on line 5
[03-Mar-2015 10:16:26 Europe/Moscow] PHP Warning:  require_once(../../config.php): failed to open stream: No such file or directory in C:\www\public\sdk\frontend\utils\event_open_program.php on line 5
[03-Mar-2015 10:16:26 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required '../../config.php' (include_path='.;C:\php\pear') in C:\www\public\sdk\frontend\utils\event_open_program.php on line 5
